model,term,estimate,std_error,t_stat,p_value
FE-OLS,_fit_stats,0.07903894966597869,105685000.33526316,62932.7976022386,63394.06943533494
GLS-Parks,x1,-43.74665785289832,298.1234329012168,-0.1467400848942786,0.8833371778869796
GLS-Parks,x2,-986.4204160391316,772.9693207774291,-1.2761443300841746,0.20190450349386724
GLS-Parks,x3,0.00013504886264841394,0.00011516804446041073,1.172624431378943,0.24094644760958095
GLS-Parks,x4,-7.8955845418054365,4.371318187088457,-1.8062250799144728,0.07088318892408779
GLS-Parks,x5,1569.1275987265246,5371.700478604623,0.2921100320050101,0.7702024966088237
GLS-Parks,x6,425.07485809178445,882.9067739645616,0.4814493111011585,0.6301971972917264
GLS-Parks,x7,0.6067687297476663,1.3766744290662267,0.4407496187455348,0.6593942707069245
GLS-Parks,x8,735.2106996682597,401.44570962353436,1.8314075404062027,0.06703973667349407
GLS-Parks,x9,-102.65177600203872,31.190976405831663,-3.2910728624335817,0.0009980605859631364
GLS-Parks,x10,303.37698404544943,221.65379803776014,1.3686974314501357,0.17109387355085248
GLS-Parks,x11,20.357578152739492,11.14548498513962,1.8265313873629048,0.06777025783400596
GLS-Parks,x12,50.30000694119079,21.750550184014386,2.31258549855713,0.02074543958493912
GLS-Parks,x13,108.06347875347727,37.43350486043855,2.8868116719597827,0.003891670937771226
GLS-Parks,x14,96.12710814624543,24.079760140988007,3.992029305251264,6.551027462242704e-05
GLS-Parks,x15,43.152790850983905,16.44599557291683,2.623908699212328,0.0086927083557829
GLS-Parks,x16,29.47282348872506,16.845933062285404,1.7495512643766036,0.08019577554884524
GLS-Parks,x17,80.1036324699419,65.91759335552061,1.215208693040569,0.22428650572960152
GLS-Parks,x18,50.96373118861101,20.040768263571575,2.543002868869483,0.010990432672766464
GLS-Parks,x19,39.790916124366255,20.032988803586772,1.986269573376987,0.04700339923125243
GLS-Parks,x20,38.09935516580438,21.0814478807052,1.8072456589034773,0.07072398470424648
GLS-Parks,x21,53.66224524561521,45.31470777772319,1.1842125410769102,0.23632893897049256
GLS-Parks,x22,30.229553909939032,17.486127456048667,1.7287735083666143,0.08384963924714937
GLS-Parks,x23,24.75734877522854,17.190965107870827,1.4401372244012913,0.14982857938627844
GLS-Parks,x24,79.56188457753936,24.97164470191815,3.1860890833284983,0.0014421018519459212
GLS-Parks,x25,53.998946344162015,17.651943077786523,3.0590936140121094,0.002220077646557356
GLS-Parks,x26,45.00949024951033,14.386770944403333,3.1285331797834517,0.0017568117473714426
GLS-Parks,x27,51.4193652739057,29.92437837364808,1.7183102229179963,0.08574004570108758
GLS-Parks,x28,45.008034438823124,26.335505730970468,1.7090248768564116,0.08744634152131502
GLS-Parks,x29,29.883311544734568,23.43531091319376,1.2751403920103603,0.2022595548967796
GLS-Parks,x30,28.333171153749394,38.095551410375634,0.7437396258827382,0.45703401157798296
GLS-Parks,x31,44.91406646968674,41.412448994648386,1.0845547066171057,0.2781189248139574
GLS-Parks,x32,22.2304802580155,27.88181829052969,0.7973109940812677,0.42527043683887156
