qdate,hl_ssm,tenor_bucket
2011-02-16,4.244521417898333,2
2011-02-17,4.29233060814508,2
2011-02-18,4.432973832251478,2
2011-02-22,4.5869566197480145,2
2011-02-23,5.314995058857401,2
2011-02-24,4.598756001612145,2
2011-02-25,4.456502115050805,2
2011-02-28,4.515281136956557,2
2011-03-01,4.564202392423287,2
2011-03-02,4.552463882800924,2
2011-03-03,4.8261873008957314,2
2011-03-04,4.646903632373898,2
2011-03-07,4.658810754417546,2
2011-03-08,4.671569073882152,2
2011-03-09,4.641699304838688,2
2011-03-10,4.6088078281806695,2
2011-03-11,4.578123256712564,2
2011-03-14,4.52608667783331,2
2011-03-15,4.652128705082419,2
2011-03-16,4.775335081256408,2
2011-03-17,4.814720256888409,2
2011-03-18,4.778315077770049,2
2011-03-21,4.541312722250791,2
2011-03-22,4.586514403752891,2
2011-03-23,4.6119357982,2
2011-03-24,4.600768610044482,2
2011-03-25,4.622827667718944,2
2011-03-28,4.632606717570007,2
2011-03-29,4.581524605485485,2
2011-03-30,4.643457162893774,2
2011-03-31,4.703002388140037,2
2011-04-01,4.647096812373155,2
2011-04-04,4.663422099876337,2
2011-04-05,4.602832082599011,2
2011-04-06,4.622286079043054,2
2011-04-07,4.596742421779935,2
2011-04-08,4.676141289688237,2
2011-04-11,4.70980813891657,2
2011-04-12,5.072426940983377,2
2011-04-13,4.993213324441291,2
2011-04-14,4.6083859137556935,2
2011-04-15,4.4614559458287575,2
2011-04-18,4.053331567407352,2
2011-04-19,4.214753514619426,2
2011-04-20,4.000002263772409,2
2011-04-21,4.619275517875032,2
2011-04-25,5.352464842967197,2
2011-04-26,5.772925589543931,2
2011-04-27,6.687537096988151,2
2011-04-28,8.300672894009248,2
2011-04-29,6.570829316310547,2
2011-05-02,5.742063263332275,2
2011-05-03,5.991130047091724,2
2011-05-04,6.264941569470844,2
2011-05-05,6.472923542255286,2
2011-05-06,6.105098347273752,2
2011-05-09,6.012261054590304,2
2011-05-10,6.042695910542315,2
2011-05-11,5.8855495609462,2
2011-05-12,6.124960834239492,2
2011-05-13,6.092030306025276,2
2011-05-16,6.053972135976684,2
2011-05-17,6.1051795970431,2
2011-05-18,5.932989918224656,2
2011-05-19,5.724391266381941,2
2011-05-20,5.759261520205465,2
2011-05-23,6.2049645845641646,2
2011-05-24,6.19531683304517,2
2011-05-25,6.19959089200214,2
2011-05-26,6.241167797868274,2
2011-05-27,6.294766836370342,2
2011-05-31,6.304394477994079,2
2011-06-01,6.274639019844549,2
2011-06-02,6.206240497640125,2
2011-06-03,6.0892047311613196,2
2011-06-06,6.01212755217608,2
2011-06-07,6.053667499935231,2
2011-06-08,6.057294313058593,2
2011-06-09,6.147319484209274,2
2011-06-10,6.099412702800892,2
2011-06-13,5.984620861337273,2
2011-06-14,5.386528024258053,2
2011-06-15,5.263889525110597,2
2011-06-16,6.094886354859576,2
2011-06-17,6.496076975122393,2
2011-06-20,6.4725818025082535,2
2011-06-21,6.597915845446199,2
2011-06-22,6.690360043048237,2
2011-06-23,6.879495609247874,2
2011-06-24,7.3328762060006385,2
2011-06-27,7.522219996338124,2
2011-06-28,8.116872630456703,2
2011-06-29,7.546980416484374,2
2011-06-30,7.390344571808525,2
2011-07-01,6.1883099577197,2
2011-07-05,6.0807127431658925,2
2011-07-06,5.532400465353809,2
2011-07-07,7.084513428666807,2
2011-07-08,7.712528647320489,2
2011-07-11,7.688325094280077,2
2011-07-12,7.322758027829388,2
2011-07-13,7.596691070155296,2
2011-07-14,8.609940619503305,2
2011-07-15,8.72559310137754,2
