qdate,tenor_bucket,smoothed_level,filtered_level,smoothed_ar.L1,filtered_ar.L1,phi,sigma2_level,loglike
2018-08-13,5,22.662484935225333,22.55320646594121,-6.389629194266282e-10,-2.817816552837823e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-08-14,5,22.827931559103995,22.657070057350793,-4.903664028631206e-10,-1.472136440418005e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-08-15,5,23.08661434292329,22.955497837618545,-2.5613324674946673e-10,5.232450856254944e-11,0.717533338305684,1.033455920047352,-7113.207589911158
2018-08-16,5,23.285123557925058,23.06270099061365,-1.4084142600055616e-10,9.428626770091067e-11,0.717533338305684,1.033455920047352,-7113.207589911158
2018-08-17,5,23.621869333609414,23.36107962670575,1.666031116968756e-10,2.2558273485479004e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-08-20,5,24.01670261543336,23.932201529380624,5.798975225974825e-10,4.641529454899041e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-08-21,5,24.144636503487792,24.21821733627756,6.564394280166746e-10,4.844308698617338e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-08-22,5,24.033235781492444,24.29702532632588,4.461787314513858e-10,3.8930767698747746e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-08-23,5,23.633860771891968,23.643159850810896,-1.4738590811331913e-10,-6.674402279101191e-11,0.717533338305684,1.033455920047352,-7113.207589911158
2018-08-24,5,23.61978204954274,23.817741743506424,-1.7811568085836213e-10,4.451360272752679e-11,0.717533338305684,1.033455920047352,-7113.207589911158
2018-08-27,5,23.320072844553312,23.13335687265337,-6.580454475266195e-10,-3.302989141313419e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-08-28,5,23.60275915427959,23.344852950151445,-3.356207860307897e-10,-1.2505746411148217e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-08-29,5,23.993226838518492,23.658836179528674,1.1151385393823376e-10,7.645566905916174e-11,0.717533338305684,1.033455920047352,-7113.207589911158
2018-08-30,5,24.49949130311188,24.525217380954764,7.451281423107475e-10,5.134274606839416e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-08-31,5,24.460542251829914,24.53740708058717,6.419677811319028e-10,3.7485322091866764e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-09-04,5,24.344169589456484,24.36374167154442,4.937996997300363e-10,1.7705010552488575e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-09-05,5,24.31453763277103,24.64225789245792,5.309396253311685e-10,2.744555455967427e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-09-06,5,23.818372093386902,23.925812700844926,-7.423105872142052e-11,-1.8227715076386233e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-09-07,5,23.655707975544196,23.668739061953836,-1.8629656647288345e-10,-2.668567542658956e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-09-10,5,23.635979027465254,23.739173091441224,-1.0420032340057573e-10,-1.541985038414743e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-09-11,5,23.47974413836911,23.3899837843358,-2.3890297438384106e-10,-2.954654040680555e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-09-12,5,23.615640510994425,23.693634063088847,3.8995972744920236e-11,-5.128684908701818e-11,0.717533338305684,1.033455920047352,-7113.207589911158
2018-09-13,5,23.497558971366214,23.514933768935485,-6.0578994773808e-11,-1.313845220105715e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-09-14,5,23.471253683460116,23.51640809491952,-2.8921056651050548e-11,-9.349242687072031e-11,0.717533338305684,1.033455920047352,-7113.207589911158
2018-09-17,5,23.402890308774307,23.660573501511422,-6.370582368036567e-11,9.221551800276129e-12,0.717533338305684,1.033455920047352,-7113.207589911158
2018-09-18,5,23.012760261423516,23.015114934700367,-5.892928436255611e-10,-3.3501878601631123e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-09-19,5,23.009195306834826,22.8389111804676,-5.992762148299487e-10,-3.336502492213304e-10,0.717533338305684,1.033455920047352,-7113.207589911158
2018-09-20,5,23.267003949586805,23.109936829588232,-2.8296895585296497e-10,-9.59536787540677e-11,0.717533338305684,1.033455920047352,-7113.207589911158
2018-09-21,5,23.5048021631036,23.40000976049573,-2.8209014938201846e-11,8.468309410684047e-11,0.717533338305684,1.033455920047352,-7113.207589911158
