# Dates where smoothed structural mean exhibits jump greater than 2x rolling 3m std
tenor,date,mu_jump_bp
5,2011-03-24,9.171661719538127
5,2011-03-25,11.54655364931602
5,2011-05-02,22.033605036999166
5,2011-08-18,35.79095470086178
5,2011-08-31,31.712989088254005
5,2011-09-01,30.42738633580739
5,2011-09-07,26.2732797819489
5,2011-12-06,30.139057695103006
5,2011-12-07,28.594952234025126
5,2011-12-21,24.756842125373765
5,2011-12-22,23.248953253147647
5,2012-02-28,26.46345185996649
5,2012-02-29,25.103162834570732
5,2012-06-19,22.947302906179342
5,2012-09-17,21.377246020199305
5,2012-09-18,19.35096916487735
5,2012-09-19,18.032375887439557
5,2012-10-04,16.594007642059072
5,2012-12-17,16.78456032457441
5,2012-12-18,15.759180076950734
5,2013-01-04,15.952924315017656
5,2013-01-07,14.934807106893574
5,2013-01-10,14.821690918114275
5,2013-01-18,13.577681099530357
5,2013-02-12,4.851786994940123
5,2013-04-11,3.6330442317740923
5,2013-04-15,4.999370853991317
5,2013-05-03,10.399463318568063
5,2013-05-28,16.488128844129157
5,2013-05-29,17.539070175791537
5,2013-05-30,18.654064592283728
5,2013-06-03,21.008286594498248
5,2013-06-04,22.295102642500076
5,2013-06-05,24.0075737907888
5,2013-06-06,25.928406372858717
5,2013-06-11,28.92868418044414
5,2013-06-12,30.46503471325823
5,2013-06-13,31.961864443175962
5,2013-06-24,35.43642649654565
5,2013-07-02,31.518439809725646
5,2013-08-16,28.508133996373637
5,2013-09-17,28.299016535895543
5,2013-09-19,25.480880942001
5,2013-12-04,21.09598671886701
5,2013-12-05,22.359918675483556
5,2013-12-20,19.84278558380039
5,2014-01-08,17.036777192446117
5,2014-03-19,3.351052491653228
5,2014-04-15,6.485836833633053
5,2014-04-24,5.586767804408012
5,2014-04-28,6.412282951725421
5,2014-06-03,13.059349231664191
5,2014-06-04,14.059610230241809
5,2014-09-03,20.004229064207077
5,2014-09-29,21.20700350007215
5,2014-10-06,21.798014663018368
5,2014-10-29,20.691583462218976
5,2014-11-03,20.34207423134059
5,2014-11-13,18.42346517934107
5,2014-11-18,17.135557578234014
5,2014-11-20,16.2430705702583
5,2014-12-01,17.91984226190291
5,2014-12-03,16.04712724546306
5,2014-12-04,14.1771693619513
5,2014-12-05,13.025110293169853
5,2014-12-08,11.936861014970862
5,2014-12-11,9.782966999728968
5,2014-12-16,11.691915771263782
5,2014-12-17,13.03445248587388
5,2014-12-24,10.353027693213093
5,2015-02-06,6.606599363071259
5,2015-03-19,0.054390039709338645
5,2015-04-14,1.1011114057894775
5,2015-06-26,12.016816234328626
5,2015-07-13,15.304878836476306
5,2015-08-28,16.07867449480208
5,2015-08-31,14.677102223492582
5,2015-09-01,16.546415631099325
5,2015-09-02,17.72881270676693
5,2015-09-29,18.618347663031642
5,2015-09-30,20.507384073506756
5,2015-11-13,21.39177864939673
5,2015-11-25,23.42797303636389
5,2015-12-22,26.469110823950793
5,2015-12-23,24.710187383554775
5,2016-02-19,15.071284860295311
5,2016-03-25,11.691952263054045
5,2016-03-28,12.75648884644671
5,2016-04-14,12.565327770470878
5,2016-04-22,10.36926173787255
5,2016-05-02,11.809926286901634
5,2016-05-17,10.225458519903555
5,2016-05-18,8.891716691638601
5,2016-05-23,11.865822975191895
5,2016-06-15,17.76088979805896
5,2016-09-12,20.66167743276122
5,2016-09-13,21.728275395367458
5,2016-09-14,22.534835779243878
5,2016-12-05,20.326300290590762
5,2016-12-12,22.680717208573544
