date,tenor,arb,arb_w,m,m_w
2017-02-13,2,11.643993637533427,11.643993637533427,-5.953596060573588,-5.9530970849448686
2017-02-14,2,13.747961196319821,13.747961196319821,-3.4829972159026994,-3.482545761762431
2017-02-15,2,10.994748649169054,10.994748649169054,-5.64228502371504,-5.6418765652071805
2017-02-16,2,10.802405630245815,10.802405630245815,-5.278949181434633,-5.278579623737045
2017-02-17,2,10.019848050930591,10.019848050930591,-5.484220402583205,-5.483886040856815
2017-02-21,2,9.87479344707998,9.87479344707998,-5.093153577249643,-5.092851059497194
2017-02-22,2,7.09107890490391,7.09107890490391,-7.126690203289932,-7.126416496752002
2017-02-23,2,7.47978723174559,7.47978723174559,-6.096269316786515,-6.096021677537911
2017-02-24,2,5.63205328498961,5.63205328498961,-7.187431524157496,-7.187207469599235
2017-02-27,2,4.361542442510299,4.361542442510299,-7.652424046004731,-7.652221329975829
2017-02-28,2,4.948096288182057,4.948096288182057,-6.392930181253641,-6.392746771513206
2017-03-01,2,5.658726403763296,5.658726403763296,-5.14112863084646,-5.140962688700352
2017-03-02,2,5.685116830969065,5.685116830969065,-4.627620279484434,-4.627470141352241
2017-03-03,2,3.843150203419725,3.843150203419725,-5.853435773030556,-5.8532999337680955
2017-03-06,2,4.2755059099786195,4.2755059099786195,-4.904786726807693,-4.904663824617847
2017-03-07,2,2.966461680882219,2.966461680882219,-5.622037531532275,-5.6219263343128905
2017-03-08,2,8.701729823306067,8.701729823306067,0.10244674318761327,0.10254735019562844
2017-03-09,2,3.5125690123516335,3.5125690123516335,-4.602265108931885,-4.602174083543682
2017-03-10,2,7.353969135071026,7.353969135071026,-0.6884016541922549,-0.6883192978886434
2017-03-13,2,7.081006142808377,7.081006142808377,-0.8698061086972944,-0.8697315958511691
2017-03-14,2,8.026675558203692,8.026675558203692,0.06863822986963708,0.0687056462542266
2017-03-15,2,7.201531463150189,7.201531463150189,-0.6844576875473072,-0.6843966917707736
2017-03-16,2,8.111026084320883,8.111026084320883,0.20360484470687368,0.2036600313618333
2017-03-17,2,9.600650516954374,9.600650516954374,1.5319693461650914,1.5320192769481515
2017-03-20,2,10.961426691327148,10.961426691327148,2.6172459471533056,2.617291122623694
2017-03-21,2,13.899413923406115,13.899413923406115,5.026163352638722,5.02620422568336
