tenor,cfg_id,span,winsor,demean,detrend,subperiod,hl_ar1_days,rho,notes
2,cfg_069,60,True,monthly,False,2022_plus,1.2137596580081689,0.5649181122711077,
2,cfg_070,60,True,monthly,True,full,1.3037952073831642,0.5876415770152973,
2,cfg_071,60,True,monthly,True,pre_2022,1.3253856073335384,0.5927528486039076,
2,cfg_072,60,True,monthly,True,2022_plus,1.2137596526030003,0.564918110834445,
5,cfg_001,10,False,none,False,full,1.269402728818319,0.5792379139614308,
5,cfg_002,10,False,none,False,pre_2022,1.383945020758557,0.606016064705981,
5,cfg_003,10,False,none,False,2022_plus,0.9141004034382569,0.46846990304960634,
5,cfg_004,10,False,none,True,full,1.2683539668337716,0.5789764442183791,
5,cfg_005,10,False,none,True,pre_2022,1.3822297906570724,0.6056395361238438,
5,cfg_006,10,False,none,True,2022_plus,0.9151468215378149,0.4688762677867066,
5,cfg_007,10,False,monthly,False,full,0.6599985868401738,0.3498589346711024,
5,cfg_008,10,False,monthly,False,pre_2022,0.7164679110812536,0.3800507742656716,
5,cfg_009,10,False,monthly,False,2022_plus,0.4760758147069288,0.23317648671805719,
5,cfg_010,10,False,monthly,True,full,0.6599987943119091,0.34985905017357827,
5,cfg_011,10,False,monthly,True,pre_2022,0.716468286322384,0.3800509668335797,
5,cfg_012,10,False,monthly,True,2022_plus,0.47607529649731073,0.233176117176253,
5,cfg_013,10,True,none,False,full,1.2596258022328692,0.5767881523748966,
5,cfg_014,10,True,none,False,pre_2022,1.3771099805869436,0.6045114561842887,
5,cfg_015,10,True,none,False,2022_plus,0.9141004034382568,0.4684699030496063,
5,cfg_016,10,True,none,True,full,1.2585331247565232,0.5765126509535908,
5,cfg_017,10,True,none,True,pre_2022,1.3752992348999569,0.604110979041932,
5,cfg_018,10,True,none,True,2022_plus,0.9151479937842595,0.46887672269173736,
5,cfg_019,10,True,monthly,False,full,0.6581853626548757,0.34884816873184515,
5,cfg_020,10,True,monthly,False,pre_2022,0.7169665060470346,0.3803065536056015,
5,cfg_021,10,True,monthly,False,2022_plus,0.47607581470692883,0.23317648671805724,
5,cfg_022,10,True,monthly,True,full,0.6581855788936338,0.34884828942953006,
5,cfg_023,10,True,monthly,True,pre_2022,0.7169669038181015,0.3803067575888957,
5,cfg_024,10,True,monthly,True,2022_plus,0.4760752826545497,0.23317610730480276,
5,cfg_025,20,False,none,False,full,2.69884898026983,0.7734991825234399,
5,cfg_026,20,False,none,False,pre_2022,2.9422406808020636,0.7901086594312425,
5,cfg_027,20,False,none,False,2022_plus,1.9477867692692423,0.7005678946942517,
5,cfg_028,20,False,none,True,full,2.6947272409174357,0.7731953829581801,
5,cfg_029,20,False,none,True,pre_2022,2.9355134965166294,0.7896822114113314,
5,cfg_030,20,False,none,True,2022_plus,1.951743136890684,0.7010734456215858,
5,cfg_031,20,False,monthly,False,full,0.8699358825516085,0.4507783072976,
5,cfg_032,20,False,monthly,False,pre_2022,0.9371364357641172,0.47728388047994036,
5,cfg_033,20,False,monthly,False,2022_plus,0.6481439984330482,0.34320274074696216,
5,cfg_034,20,False,monthly,True,full,0.8699365371532662,0.45077857756327033,
5,cfg_035,20,False,monthly,True,pre_2022,0.9371373355910279,0.4772842194452824,
5,cfg_036,20,False,monthly,True,2022_plus,0.6481431825657458,0.3432022787352523,
5,cfg_037,20,True,none,False,full,2.7037781606353284,0.7738614355875246,
5,cfg_038,20,True,none,False,pre_2022,2.9622091623274263,0.791364424223959,
5,cfg_039,20,True,none,False,2022_plus,1.947786769516772,0.7005678947259343,
5,cfg_040,20,True,none,True,full,2.69948420037685,0.7735459305526566,
5,cfg_041,20,True,none,True,pre_2022,2.955106665188476,0.7909194836094672,
5,cfg_042,20,True,none,True,2022_plus,1.951747541873248,0.7010740075578302,
5,cfg_043,20,True,monthly,False,full,0.8654480884240761,0.44891966315845117,
5,cfg_044,20,True,monthly,False,pre_2022,0.9346195023194304,0.47633414242225663,
5,cfg_045,20,True,monthly,False,2022_plus,0.6481439984629618,0.3432027407639017,
5,cfg_046,20,True,monthly,True,full,0.8654487859564134,0.44891995294363674,
5,cfg_047,20,True,monthly,True,pre_2022,0.9346204674104881,0.47633450720602394,
5,cfg_048,20,True,monthly,True,2022_plus,0.6481431661727677,0.3432022694521834,
5,cfg_049,60,False,none,False,full,8.572434020593853,0.92232494161286,
5,cfg_050,60,False,none,False,pre_2022,9.347746640675828,0.9285312346774957,
5,cfg_051,60,False,none,False,2022_plus,6.168095911797442,0.8937079811985761,
5,cfg_052,60,False,none,True,full,8.534207987990467,0.9219909599496138,
5,cfg_053,60,False,none,True,pre_2022,9.28702475882673,0.928081166413731,
5,cfg_054,60,False,none,True,2022_plus,6.1993543848363295,0.8942145218700762,
5,cfg_055,60,False,monthly,False,full,1.1314174496442777,0.5419204248423483,
5,cfg_056,60,False,monthly,False,pre_2022,1.2024374167080474,0.561888541879784,
5,cfg_057,60,False,monthly,False,2022_plus,0.8924300524425143,0.4599229202792124,
5,cfg_058,60,False,monthly,True,full,1.131418759426954,0.5419208091810591,
5,cfg_059,60,False,monthly,True,pre_2022,1.2024390967858547,0.5618889944434007,
5,cfg_060,60,False,monthly,True,2022_plus,0.8924280970768598,0.45992213758755346,
5,cfg_061,60,True,none,False,full,8.73583871249565,0.9237209680541477,
5,cfg_062,60,True,none,False,pre_2022,9.609012528329055,0.9304051798063748,
5,cfg_063,60,True,none,False,2022_plus,6.168150889390639,0.8937088763591189,
5,cfg_064,60,True,none,True,full,8.69602657292781,0.9233854797089416,
5,cfg_065,60,True,none,True,pre_2022,9.544893479523637,0.9299544361890453,
5,cfg_066,60,True,none,True,2022_plus,6.199444622897292,0.8942159771885393,
5,cfg_067,60,True,monthly,False,full,1.1035323740828642,0.5335957436482622,
5,cfg_068,60,True,monthly,False,pre_2022,1.1696270326827396,0.5528755206107431,
5,cfg_069,60,True,monthly,False,2022_plus,0.8924329191329714,0.45992406775118977,
5,cfg_070,60,True,monthly,True,full,1.1035337584671279,0.5335961641075411,
5,cfg_071,60,True,monthly,True,pre_2022,1.1696288230560952,0.5528760221456508,
5,cfg_072,60,True,monthly,True,2022_plus,0.8924308926176658,0.4599232565829731,
10,cfg_001,10,False,none,False,full,1.2652495493412306,0.5782006283118798,
10,cfg_002,10,False,none,False,pre_2022,1.4567004131150636,0.6213667927958137,
10,cfg_003,10,False,none,False,2022_plus,0.9199812950539307,0.4707462079124273,
10,cfg_004,10,False,none,True,full,1.2648508250605444,0.5781007839136207,
10,cfg_005,10,False,none,True,pre_2022,1.4564704399590773,0.6213201094028511,
10,cfg_006,10,False,none,True,2022_plus,0.9193354743472374,0.4704971178998777,
10,cfg_007,10,False,monthly,False,full,0.76043582977763,0.4019156463187884,
10,cfg_008,10,False,monthly,False,pre_2022,0.849383904235264,0.44217092399905816,
10,cfg_009,10,False,monthly,False,2022_plus,0.5920517054455199,0.31013286706363163,
10,cfg_010,10,False,monthly,True,full,0.7604359473039701,0.40191570293885903,
10,cfg_011,10,False,monthly,True,pre_2022,0.8493842182234608,0.4421710573883037,
10,cfg_012,10,False,monthly,True,2022_plus,0.5920518738936118,0.3101329703683188,
10,cfg_013,10,True,none,False,full,1.2987797576620037,0.586436382247487,
10,cfg_014,10,True,none,False,pre_2022,1.4851627080365315,0.6270590016229938,
10,cfg_015,10,True,none,False,2022_plus,0.9419281115456706,0.47908310919307495,
10,cfg_016,10,True,none,True,full,1.2983619137790876,0.5863356677844858,
10,cfg_017,10,True,none,True,pre_2022,1.4849243558964043,0.6270120275422765,
10,cfg_018,10,True,none,True,2022_plus,0.9412286021595075,0.47882117135404667,
10,cfg_019,10,True,monthly,False,full,0.773506547272238,0.40815417527247955,
10,cfg_020,10,True,monthly,False,pre_2022,0.8640057011590719,0.44831983336709735,
10,cfg_021,10,True,monthly,False,2022_plus,0.5928316234905022,0.3106109086986631,
10,cfg_022,10,True,monthly,True,full,0.7735066990593445,0.40815424704472797,
10,cfg_023,10,True,monthly,True,pre_2022,0.8640061060467897,0.4483200019116333,
10,cfg_024,10,True,monthly,True,2022_plus,0.5928318297361588,0.31061103504544624,
10,cfg_025,20,False,none,False,full,2.3476453492754725,0.74434392703361,
10,cfg_026,20,False,none,False,pre_2022,2.7533908935903035,0.7774444318229831,
10,cfg_027,20,False,none,False,2022_plus,1.6217022221402542,0.6521898900607438,
10,cfg_028,20,False,none,True,full,2.3464151291195954,0.7442287115109413,
10,cfg_029,20,False,none,True,pre_2022,2.7525114294934085,0.7773819003780538,
10,cfg_030,20,False,none,True,2022_plus,1.6199043601810494,0.6518805811899837,
10,cfg_031,20,False,monthly,False,full,1.0208003178427727,0.5071120567898045,
10,cfg_032,20,False,monthly,False,pre_2022,1.097607878308294,0.5317897304470944,
10,cfg_033,20,False,monthly,False,2022_plus,0.8766792119306599,0.45354949798156297,
10,cfg_034,20,False,monthly,True,full,1.0208006493278725,0.5071121686078052,
10,cfg_035,20,False,monthly,True,pre_2022,1.097608445042754,0.5317899038476335,
10,cfg_036,20,False,monthly,True,2022_plus,0.876679555929277,0.45354963869168125,
10,cfg_037,20,True,none,False,full,2.421488445042783,0.7510760293508434,
10,cfg_038,20,True,none,False,pre_2022,2.8111032456824225,0.781472916303807,
