date,tenor,basis
2010-04-13,5,21.126241042899156
2010-04-14,5,19.226086662680306
2010-04-15,5,22.70901579547683
2010-04-16,5,23.162501469429174
2010-04-19,5,23.89999113578068
2010-04-20,5,25.449229067215924
2010-04-21,5,25.33643147926369
2010-04-22,5,23.220828009644663
2010-04-23,5,24.6676148782621
2010-04-26,5,24.015980143157208
2010-04-27,5,28.25514289027444
2010-04-28,5,24.843394866957965
2010-04-29,5,24.047585332123106
2010-04-30,5,25.2390178858941
2010-05-03,5,27.760143733166476
2010-05-04,5,29.371491484786446
2010-05-05,5,30.871570218173872
2010-05-06,5,34.16161602390221
2010-05-07,5,33.74410685055062
2010-05-10,5,31.85680800224634
2010-05-11,5,34.889992080415794
2010-05-12,5,32.85779092979226
2010-05-13,5,32.92203829936335
2010-05-14,5,36.56621875796742
2010-05-17,5,36.18684428222883
2010-05-18,5,38.37579648636069
2010-05-19,5,38.951081764673205
2010-05-20,5,41.497889260406765
2010-05-21,5,45.28201630592756
2010-05-24,5,46.44266296661704
2010-05-25,5,56.28828177387968
2010-05-26,5,44.700204662124776
2010-05-27,5,40.41462142402975
2010-05-28,5,47.05171788105256
2010-06-01,5,43.836637441474494
2010-06-02,5,42.88262474267279
2010-06-03,5,42.06347168466351
2010-06-04,5,40.55466831174749
2010-06-07,5,40.23511152265735
2010-06-08,5,43.32050223462281
2010-06-09,5,40.760456464241656
2010-06-10,5,37.58228864876759
2010-06-11,5,38.39786765952314
2010-06-14,5,35.50593749497733
2010-06-15,5,33.82978648756696
2010-06-16,5,35.07710837479917
2010-06-17,5,31.517744303934933
2010-06-18,5,27.509546021535783
2010-06-21,5,27.35413037344924
2010-06-22,5,29.391116947696812
2010-06-23,5,31.206076510210664
2010-06-24,5,35.533105307548055
2010-06-25,5,39.84608362708198
2010-06-28,5,39.69028405530483
2010-06-29,5,39.702409528006285
2010-06-30,5,40.143978616284926
2010-07-01,5,40.31143877141432
2010-07-02,5,39.692728088445136
2010-07-06,5,39.80794745616524
2010-07-07,5,40.667470530504346
2010-07-08,5,40.336293989371455
2010-07-09,5,38.23050779207637
2010-07-12,5,37.42584426239091
2010-07-13,5,35.059936295234195
2010-07-14,5,37.53994121923788
2010-07-15,5,36.9557273293797
2010-07-16,5,38.22828552949133
2010-07-19,5,37.73978035147118
2010-07-20,5,35.352116626856684
2010-07-21,5,36.831361957192485
2010-07-22,5,34.43235652858644
2010-07-23,5,36.91600091032086
2010-07-26,5,31.919492443026627
2010-07-27,5,33.35333174615096
2010-07-28,5,33.84931933676728
2010-07-29,5,34.27527898125504
2010-07-30,5,32.85002275958513
2010-08-02,5,31.980394879758137
2010-08-03,5,31.35632723715088
2010-08-04,5,32.32658977352142
2010-08-05,5,39.070603605240166
2010-08-06,5,34.78473708403263
2010-08-09,5,38.02292333321191
2010-08-10,5,33.30201171561464
2010-08-11,5,38.74949305547881
2010-08-12,5,36.63656776841995
2010-08-13,5,36.10238562730572
2010-08-16,5,40.38382786080373
2010-08-17,5,36.619222105192
2010-08-18,5,39.430378473908064
2010-08-19,5,37.3319765404423
2010-08-20,5,36.59839585765434
2010-08-23,5,35.94275123805167
2010-08-24,5,35.988396875430425
2010-08-25,5,34.76823092732005
2010-08-26,5,32.99690489639406
2010-08-27,5,34.84156816802695
2010-08-30,5,39.13403779711058
2010-08-31,5,32.384265173628364
2010-09-01,5,35.56748464342175
2010-09-02,5,34.84626281063274
2010-09-03,5,35.65528966456233
2010-09-07,5,30.39789957762773
2010-09-08,5,30.228073015345927
2010-09-09,5,25.923509470982
2010-09-10,5,28.12520792378814
2010-09-13,5,25.483893830344783
2010-09-14,5,25.96068890896808
2010-09-15,5,29.44055863188578
2010-09-16,5,24.230540919594205
2010-09-17,5,27.2300570591666
2010-09-20,5,28.0874571144052
2010-09-21,5,27.90990398888306
2010-09-22,5,27.8022511056264
2010-09-23,5,27.863933230594117
2010-09-24,5,28.422708693138787
2010-09-27,5,31.419318935748123
2010-09-28,5,30.56777425974656
2010-09-29,5,29.1590879538428
2010-09-30,5,33.28039862124044
2010-10-01,5,32.259639799057084
2010-10-04,5,30.929639291672487
2010-10-05,5,34.49651001141919
2010-10-06,5,32.710758425742426
2010-10-07,5,30.21545041787864
2010-10-08,5,32.19599787438466
2010-10-12,5,31.99486945647091
2010-10-13,5,39.763709253639576
2010-10-14,5,33.40266613727883
2010-10-15,5,30.22740268408208
2010-10-18,5,31.289352635606164
2010-10-19,5,33.48384266440574
2010-10-20,5,31.69861437671173
2010-10-21,5,32.90747765988479
2010-10-22,5,33.779002105958085
2010-10-25,5,30.26316394437734
2010-10-26,5,32.47410211323577
2010-10-27,5,31.463668948810152
2010-10-28,5,28.705229822971774
2010-10-29,5,31.957649003855323
2010-11-01,5,32.88049499961198
2010-11-02,5,35.98850446462133
2010-11-03,5,36.512095658769454
2010-11-04,5,40.511853706606274
2010-11-05,5,38.49922001525563
2010-11-08,5,36.25254769267228
2010-11-09,5,39.06166696018511
2010-11-10,5,39.74922770755063
2010-11-12,5,36.19718214201262
2010-11-15,5,39.8554315381916
2010-11-16,5,36.563085719589765
2010-11-17,5,35.841441041908354
2010-11-18,5,32.9493351151111
2010-11-19,5,35.67140219172816
2010-11-22,5,35.38587381599177
2010-11-23,5,34.75135555045972
2010-11-24,5,33.28622491221458
2010-11-26,5,33.33842998143544
2010-11-29,5,33.561342120020925
2010-11-30,5,32.84682337699519
2010-12-01,5,32.59498483195955
2010-12-02,5,33.6879139905144
2010-12-03,5,35.066450090615035
2010-12-06,5,34.400105580538735
2010-12-07,5,30.927855477338426
2010-12-08,5,37.703986744781474
2010-12-09,5,30.36443923796648
2010-12-10,5,29.720953780612035
2010-12-13,5,29.51745050667975
2010-12-14,5,31.38465076847342
2010-12-15,5,28.380275855059978
2010-12-16,5,27.349946343673253
2010-12-17,5,27.86342594217615
2010-12-20,5,25.834339460812917
2010-12-21,5,25.865988296434068
